algorithm,IGD_mean,IGD_std,Delta_mean,Delta_std,Mn_mean,Mn_std
Random Search,0.1222057205268526,0.03462476957089577,0.6844297829028703,0.03244651831118304,28.333333333333332,3.2145502536643185
NSGA-II,0.0,0.0,0.48493819958725926,0.01764720240794564,40.0,0.0
SPEA2,0.1680945413396603,0.019642188756599926,0.6298620768760151,0.10947122077886944,11.666666666666666,2.516611478423583
