algorithm,IGD,Delta,Mn
Random Search,0.0841090568830892,0.6385042066895551,31
NSGA-II,0.0,0.600673068486845,40
SPEA2,0.17492542523163407,0.6378468965949499,12
MOPSO,0.11999236483980684,1.9677790563866515,870
