algorithm,IGD_mean,IGD_std,Delta_mean,Delta_std,Mn_mean,Mn_std
Random Search,0.9792276435251254,0.08842186888729334,0.6456244007958375,0.1171532772491039,6.333333333333333,2.0816659994661326
NSGA-II,0.0,0.0,0.7238672920763923,0.3212078070576332,10.0,7.0
SPEA2,1.1640608590429118,0.03917646195601057,0.6612423521800511,0.12591116587433926,5.666666666666667,0.5773502691896258
